name,career,official_role_verbatim,official_first_segment,career_equals_any_segment,list,rsi_url
Redeemer,Combat,Combat / Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/redeemer/Redeemer
Reliant Kore,Transporter,Transporter / Starter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/reliant/Reliant-Kore
Reliant Mako,Support,Support / Reporting,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/reliant/Reliant-Mako
Reliant Sen,Industrial,Industrial / Light Science,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/reliant/Reliant-Sen
Reliant Tana,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/reliant/Reliant-Tana
Retaliator,Combat,Combat / Modular,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-retaliator/Retaliator
SRV,Support,Support / Recovery,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/argo-srv/SRV
STV,Transporter,Transporter / Passenger,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/stv/STV
Sabre,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/sabre/Sabre
Sabre Comet,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/sabre/Sabre-Comet
Sabre Firebird,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/sabre/Sabre-Firebird
Sabre Peregrine,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/sabre/Sabre-Peregrine
Sabre Raven,Combat,Combat / Interdiction,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/sabre/Sabre-Raven
Salvation,Industrial,Industrial / Starter / Light Salvage,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/salvation/Salvation
San'tok.yai,Combat,,,,NO ROLES ROW - not joined,
Scorpius,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/scorpius/Scorpius
Scorpius Antares,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/scorpius/Scorpius-Antares
Scythe,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/scythe/Scythe
Shiv,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/shiv/Shiv
Spartan,Combat,Combat / Passenger,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/spartan/Spartan
Starfarer,Support,Support / Heavy Refueling,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-starfarer/Starfarer
Starfarer Gemini,Support,Support / Heavy Refueling,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-starfarer/Starfarer-Gemini
Starlancer BLD,,,,,NO ROLES ROW - not joined,
Starlancer MAX,Transporter,Transport / Medium Freight,Transport,no,LIST 1 - disagree,https://robertsspaceindustries.com/pledge/ships/starlancer/Starlancer-MAX
Starlancer TAC,Combat,Combat / Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/starlancer/Starlancer-TAC
Starlite,Support,Support / Light Refueling,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/starlite/Starlite
Stinger,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/stinger/Stinger
Storm,Combat,Combat / Light Tank,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/storm/Storm
Storm AA,Combat,Combat / Light Tank,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/storm/Storm-AA
Syulen,Multi-Role,Multi-Role / Starter / Pathfinder,Multi-Role,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/syulen/Syulen
Talon,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/talon/Talon
Talon Shrike,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/talon/Talon-Shrike
Terrapin,Support,Support / Pathfinder,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/terrapin/Terrapin
Terrapin Medic,Support,Support / Medical,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/terrapin/Terrapin-Medic
Tiburon,Combat,Combat / Heavy Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/tiburon/Tiburon
Tyilui,Transporter,Transporter / Snub Carrier,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/tyilui/Tyilui
UTV,Transporter,Transporter / Passenger,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/utv/UTV
Ursa,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ursa/Ursa
Ursa Fortuna,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ursa/Ursa-Fortuna
Ursa Medivac,Support,Support / Medical,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ursa/Ursa-Medivac
Valkyrie,Combat,Combat / Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-valkyrie/Valkyrie
Vanguard Harbinger,Combat,Combat / Heavy Fighter / Bomber,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/vanguard/Vanguard-Harbinger
Vanguard Hoplite,Combat,Combat / Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/vanguard/Vanguard-Hoplite
Vanguard Sentinel,Combat,Combat / Heavy Fighter / Bomber,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/vanguard/Vanguard-Sentinel
Vanguard Warden,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/vanguard/Vanguard-Warden
Vulcan,,Multi-role / Medium Repair / Medium Refuel,Multi-role,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/vulcan/Vulcan
Vulture,Industrial,Industrial / Light Salvage,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-vulture/Vulture
X1,Exploration,Exploration / Passenger,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/x1/X1
X1 Force,Combat,Combat / Passenger,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/x1/X1-Force
X1 Velocity,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/x1/X1-Velocity
Zeus Mk II CL,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/zeus-mk-ii/Zeus-Mk-II-CL
Zeus Mk II ES,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/zeus-mk-ii/Zeus-Mk-II-ES
Zeus Mk II MR,,Combat / Interdiction,Combat,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/zeus-mk-ii/Zeus-Mk-II-MR
