name,hull,maker,status,career,role,image,pledge,ingame,dealers,dealer_prices,places,length,dims,crew,cargo,rsi,note,edition,hull_id,page,model,markers
ROC,GRIN_ROC,Greycat Industrial,purchasable,Industrial,Mining,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,False
ROC-DS,GRIN_ROC_DS,Greycat Industrial,purchasable,Industrial,Mining,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,False
Sabre,AEGS_Sabre,Aegis Dynamics,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Sabre Comet,AEGS_Sabre_Comet,Aegis Dynamics,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Sabre Firebird,AEGS_Sabre_Firebird,Aegis Dynamics,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Sabre Peregrine,AEGS_Sabre_Peregrine,Aegis Dynamics,purchasable,Competition,Racing,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Salvation,RSI_Salvation,Roberts Space Industries,purchasable,Industrial,Salvage,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
San'tok.yai,XNAA_SanTokYai,Aopoa,purchasable,Combat,Fighter,True,False,True,1,0,1,True,False,True,True,True,True,False,True,True,True,True
Scorpius,RSI_Scorpius,Roberts Space Industries,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Scorpius Antares,RSI_Scorpius_Antares,Roberts Space Industries,purchasable,Combat,Interdiction,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Scythe,VNCL_Scythe,Esperia,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,True,True,False,True,True,True,True
Shiv,GLSN_Shiv,Grey's Market,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Spartan,ANVL_Spartan,Anvil Aerospace,purchasable,Combat,Ground Vehicle,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
SRV,ARGO_SRV,Argo Astronautics,purchasable,Support,Search & Rescue,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
Starfarer,MISC_Starfarer,MISC,purchasable,Support,Refuel,True,True,True,2,2,2,True,False,True,True,True,True,False,True,True,True,True
Starfarer Gemini,MISC_Starfarer_Gemini,MISC,purchasable,Support,Refuel,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Starlancer BLD,,MISC,pledge_only,,Multi-role,False,False,False,0,0,0,False,False,False,False,False,True,False,False,False,False,False
Starlancer MAX,MISC_Starlancer_Max,MISC,purchasable,Transporter,Cargo,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
Starlancer TAC,MISC_Starlancer_TAC,MISC,purchasable,Combat,Gunship,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
Starlite,MISC_Starlite,MISC,pledge_only,Support,Refuel,True,True,False,0,0,0,True,False,True,True,True,True,False,True,True,True,True
Stinger,VNCL_Stinger,Esperia,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Storm,TMBL_Storm,Tumbril Land Systems,purchasable,Combat,Ground Vehicle,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Storm AA,TMBL_Storm_AA,Tumbril Land Systems,purchasable,Combat,Ground Vehicle,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
STV,GRIN_STV,Greycat Industrial,purchasable,Transporter,Racing,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,False
Syulen,GAMA_Syulen,Gatac Manufacture,purchasable,Multi-Role,Exploration,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Talon,ESPR_Talon,Esperia,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Talon Shrike,ESPR_Talon_Shrike,Esperia,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Terrapin,ANVL_Terrapin,Anvil Aerospace,purchasable,Support,Exploration,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
Terrapin Medic,ANVL_Terrapin_Medic,Anvil Aerospace,purchasable,Support,Medical,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Tiburon,AEGS_Tiburon,Aegis Dynamics,pledge_only,Combat,Gunship,True,True,False,0,0,0,True,False,True,True,True,True,False,True,True,True,True
Tyilui,GAMA_Tyilui,Gatac Manufacture,pledge_only,Transporter,Capital/Multi-crew,True,True,False,0,0,0,True,False,True,True,True,True,False,True,True,True,True
Ursa,RSI_Ursa_Rover,Roberts Space Industries,purchasable,Exploration,Ground Vehicle,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Ursa Medivac,RSI_Ursa_Medivac,Roberts Space Industries,purchasable,Support,Medical,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
UTV,GRIN_UTV,Greycat Industrial,pledge_only,Transporter,Ground Vehicle,True,True,False,0,0,0,True,False,True,True,True,True,False,True,True,True,False
Valkyrie,ANVL_Valkyrie,Anvil Aerospace,purchasable,Combat,Cargo,True,True,True,1,0,1,True,False,True,True,True,False,True,True,True,True,True
Vanguard Harbinger,AEGS_Vanguard_Harbinger,Aegis Dynamics,purchasable,Combat,Bomber,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Vanguard Hoplite,AEGS_Vanguard_Hoplite,Aegis Dynamics,purchasable,Combat,Cargo,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Vanguard Sentinel,AEGS_Vanguard_Sentinel,Aegis Dynamics,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Vanguard Warden,AEGS_Vanguard,Aegis Dynamics,purchasable,Combat,Fighter,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Vulcan,,Aegis Dynamics,pledge_only,,Support/Repair,True,True,False,0,0,0,False,False,False,False,True,True,False,False,False,False,False
Vulture,DRAK_Vulture,Drake Interplanetary,purchasable,Industrial,Salvage,True,True,True,3,3,3,True,False,True,True,True,True,False,True,True,True,True
X1,ORIG_X1,Origin Jumpworks,purchasable,Exploration,Ground Vehicle,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
X1 Force,ORIG_X1_Force,Origin Jumpworks,purchasable,Combat,Ground Vehicle,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
X1 Velocity,ORIG_X1_Velocity,Origin Jumpworks,purchasable,Competition,Racing,True,True,True,2,2,2,True,False,True,True,True,False,False,True,True,True,True
Zeus Mk II CL,RSI_Zeus_CL,Roberts Space Industries,purchasable,Transporter,Cargo,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Zeus Mk II ES,RSI_Zeus_ES,Roberts Space Industries,purchasable,Exploration,Exploration,True,True,True,1,0,1,True,False,True,True,True,False,False,True,True,True,True
Zeus Mk II MR,,Roberts Space Industries,pledge_only,,Interdiction,True,True,False,0,0,0,False,False,False,False,True,True,False,False,False,False,False
600i Executive Edition,ORIG_600i_Executive_Edition,Origin Jumpworks,pledge_only,Exploration,Exploration,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
ATLS GEO IKTI,ARGO_ATLS_GEO_IKTI,Argo Astronautics,pledge_only,Ground,Mining,True,False,False,0,0,0,True,False,True,True,False,True,False,True,True,True,False
ATLS IKTI,ARGO_ATLS_IKTI,Argo Astronautics,pledge_only,Ground,Ground Vehicle,True,False,False,0,0,0,True,False,True,True,False,True,False,True,True,True,False
ATLS IKTI RAD,ARGO_ATLS_IKTI_ARGOS,Argo Astronautics,pledge_only,Ground,Ground Vehicle,True,False,False,0,0,0,True,False,True,True,False,True,False,True,True,True,False
Ballista Dunestalker,ANVL_Ballista_Dunestalker,Anvil Aerospace,pledge_only,Combat,Ground Vehicle,True,False,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Ballista Snowblind,ANVL_Ballista_Snowblind,Anvil Aerospace,pledge_only,Combat,Ground Vehicle,True,False,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Carrack Expedition,ANVL_Carrack_Expedition,Anvil Aerospace,pledge_only,Exploration,Exploration,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Constellation Phoenix Emerald,RSI_Constellation_Phoenix_Emerald,Roberts Space Industries,pledge_only,Exploration,Touring/Luxury,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
F7A Hornet Mk I,ANVL_Hornet_F7A_Mk1,Anvil Aerospace,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
F7A Hornet Mk II,ANVL_Hornet_F7A_Mk2,Anvil Aerospace,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
F7C-M Hornet Heartseeker Mk II,ANVL_Hornet_F7CM_Mk2_Heartseeker,Anvil Aerospace,pledge_only,Combat,Fighter,False,True,False,0,0,0,True,False,True,True,False,True,False,True,True,False,False
F7C-M Super Hornet Heartseeker Mk I,,Anvil Aerospace,pledge_only,,Fighter,True,True,False,0,0,0,False,False,False,False,False,True,False,False,False,False,False
F7C-M Super Hornet Mk II,ANVL_Hornet_F7CM_Mk2,Anvil Aerospace,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
F8C Lightning Executive Edition,ANVL_Lightning_F8C_Exec,Anvil Aerospace,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Gladius Dunlevy,AEGS_Gladius_Dunlevy,Aegis Dynamics,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,False,False
Gladius Pirate,AEGS_Gladius_PIR,Aegis Dynamics,pledge_only,Combat,Fighter,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Mustang Alpha Vindicator,,Consolidated Outland,pledge_only,,Cargo,True,True,False,0,0,0,False,False,False,False,False,True,False,False,False,False,False
Mustang Omega,CNOU_Mustang_Omega,Consolidated Outland,pledge_only,Competition,Racing,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
P-72 Archimedes Emerald,KRIG_P72_Archimedes_Emerald,Kruger Intergalactic,pledge_only,Competition,Racing,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Sabre Raven,AEGS_Sabre_Raven,Aegis Dynamics,pledge_only,Combat,Interdiction,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
Ursa Fortuna,RSI_Ursa_Rover_Emerald,Roberts Space Industries,pledge_only,Exploration,Ground Vehicle,True,True,False,0,0,0,True,False,True,True,False,True,False,True,True,True,True
