name,identifier,game_dim_a,game_dim_b,game_dim_c,game_source,fleetyards_length,fleetyards_beam,fleetyards_height,fleetyards_source,page_length,page_length_note,model_bbox_extent,model_bbox_note,conflict,gap
F7A Hornet Mk I,ANVL_Hornet_F7A_Mk1,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),22.5,21,6,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",21.773 x 5.133 x 22.585,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 22.5 - recorded, not resolved",
F7A Hornet Mk II,ANVL_Hornet_F7A_Mk2,22.5,22,6.5,LOADOUT_SHIPS dim (game data),22.5,22,6.5,sc-ships/index.json (Fleetyards),22.5,"identical to game dim[0] - same source, not a second one",21.969 x 4.719 x 22.278,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
F7C Hornet Mk I,ANVL_Hornet_F7C,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),22.5,21.5,6.5,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",21.773 x 5.133 x 22.585,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 22.5 - recorded, not resolved",
F7C Hornet Mk II,ANVL_Hornet_F7C_Mk2,22.5,22,6.5,LOADOUT_SHIPS dim (game data),22.2,22,5,sc-ships/index.json (Fleetyards),22.5,"identical to game dim[0] - same source, not a second one",21.969 x 4.826 x 22.259,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 22.5 vs Fleetyards 22.2 - recorded, not resolved",
F7C Hornet Wildfire Mk I,ANVL_Hornet_F7C_Wildfire,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),22.5,21.5,6.5,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",21.629 x 5.26 x 22.554,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 22.5 - recorded, not resolved",
F7C-M Hornet Heartseeker Mk II,ANVL_Hornet_F7CM_Mk2_Heartseeker,24,24,6.5,LOADOUT_SHIPS dim (game data),,,,,24,"identical to game dim[0] - same source, not a second one",,,,
F7C-M Super Hornet Heartseeker Mk I,(none),,,,,25.5,24,6.5,sc-ships/index.json (Fleetyards),,,,,,
F7C-M Super Hornet Mk I,ANVL_Hornet_F7CM,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),25.5,24,6.5,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",24.335 x 6.252 x 24.153,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 25.5 - recorded, not resolved",
F7C-M Super Hornet Mk II,ANVL_Hornet_F7CM_Mk2,24,24,6.5,LOADOUT_SHIPS dim (game data),24,19,6.5,sc-ships/index.json (Fleetyards),24,"identical to game dim[0] - same source, not a second one",24.199 x 5.261 x 23.879,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
F7C-R Hornet Tracker Mk I,ANVL_Hornet_F7CR,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),22.5,21.5,6.5,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",21.782 x 6.619 x 23.664,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 22.5 - recorded, not resolved",
F7C-R Hornet Tracker Mk II,ANVL_Hornet_F7CR_Mk2,22.5,22,6.5,LOADOUT_SHIPS dim (game data),22.5,15,5,sc-ships/index.json (Fleetyards),22.5,"identical to game dim[0] - same source, not a second one",21.969 x 5.219 x 22.666,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
F7C-S Hornet Ghost Mk I,ANVL_Hornet_F7CS,28.25,25.5,7.5,LOADOUT_SHIPS dim (game data),22.5,21.5,6.5,sc-ships/index.json (Fleetyards),28.25,"identical to game dim[0] - same source, not a second one",21.773 x 6.308 x 22.585,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.25 vs Fleetyards 22.5 - recorded, not resolved",
F7C-S Hornet Ghost Mk II,ANVL_Hornet_F7CS_Mk2,22.5,22,6.5,LOADOUT_SHIPS dim (game data),22.5,15,5,sc-ships/index.json (Fleetyards),22.5,"identical to game dim[0] - same source, not a second one",21.969 x 4.874 x 22.205,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
F8C Lightning,ANVL_Lightning_F8C,26,25,8,LOADOUT_SHIPS dim (game data),25,24,6.5,sc-ships/index.json (Fleetyards),26,"identical to game dim[0] - same source, not a second one",25.63 x 5.717 x 24.287,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 26 vs Fleetyards 25 - recorded, not resolved",
F8C Lightning Executive Edition,ANVL_Lightning_F8C_Exec,26,25,8,LOADOUT_SHIPS dim (game data),25,24,6.5,sc-ships/index.json (Fleetyards),26,"identical to game dim[0] - same source, not a second one",25.63 x 5.717 x 24.287,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 26 vs Fleetyards 25 - recorded, not resolved",
Fortune,MISC_Fortune,26.5,16.5,8,LOADOUT_SHIPS dim (game data),26,16,7,sc-ships/index.json (Fleetyards),26.5,"identical to game dim[0] - same source, not a second one",15.272 x 6.042 x 29.221,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 26.5 vs Fleetyards 26 - recorded, not resolved",
Freelancer,MISC_Freelancer,38,23.5,9.5,LOADOUT_SHIPS dim (game data),38,23.5,9.5,sc-ships/index.json (Fleetyards),38,"identical to game dim[0] - same source, not a second one",24.892 x 8.103 x 32.169,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Freelancer DUR,MISC_Freelancer_DUR,38,23.5,9.5,LOADOUT_SHIPS dim (game data),38,23.5,9.5,sc-ships/index.json (Fleetyards),38,"identical to game dim[0] - same source, not a second one",22.586 x 8.797 x 37.172,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Freelancer MAX,MISC_Freelancer_MAX,38,34,9.5,LOADOUT_SHIPS dim (game data),38,36,9.5,sc-ships/index.json (Fleetyards),38,"identical to game dim[0] - same source, not a second one",31.39 x 8.797 x 36.715,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Freelancer MIS,MISC_Freelancer_MIS,38,23.5,9.5,LOADOUT_SHIPS dim (game data),38,23.5,9.5,sc-ships/index.json (Fleetyards),38,"identical to game dim[0] - same source, not a second one",22.584 x 8.796 x 37.172,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Fury,MISC_Fury,7,5.4,3,LOADOUT_SHIPS dim (game data),7,5.4,2.6,sc-ships/index.json (Fleetyards),7,"identical to game dim[0] - same source, not a second one",6.999 x 6.51 x 6.11,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Fury LX,MISC_Fury_LX,7,5.4,3,LOADOUT_SHIPS dim (game data),7,5.4,2.6,sc-ships/index.json (Fleetyards),7,"identical to game dim[0] - same source, not a second one",5.045 x 2.563 x 6.462,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Fury MX,MISC_Fury_Miru,7,5.4,3,LOADOUT_SHIPS dim (game data),7,5.4,2.6,sc-ships/index.json (Fleetyards),7,"identical to game dim[0] - same source, not a second one",5.337 x 2.584 x 6.325,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
G12,(none),,,,,7.2,5.8,2.7,sc-ships/index.json (Fleetyards),,,,,,
G12a,(none),,,,,7.2,5.8,2.7,sc-ships/index.json (Fleetyards),,,,,,
G12r,(none),,,,,7.2,5.8,2.7,sc-ships/index.json (Fleetyards),,,,,,
Galaxy,(none),,,,,110,60,22,sc-ships/index.json (Fleetyards),,,,,,
Genesis Starliner,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
Gladiator,ANVL_Gladiator,22.75,21,6,LOADOUT_SHIPS dim (game data),22.3,22,6.6,sc-ships/index.json (Fleetyards),22.75,"identical to game dim[0] - same source, not a second one",22.506 x 6.313 x 22.359,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 22.75 vs Fleetyards 22.3 - recorded, not resolved",
Gladius,AEGS_Gladius,21,17.5,5.5,LOADOUT_SHIPS dim (game data),20,17,5.5,sc-ships/index.json (Fleetyards),21,"identical to game dim[0] - same source, not a second one",16.954 x 5.614 x 19.751,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 21 vs Fleetyards 20 - recorded, not resolved",
Gladius Dunlevy,AEGS_Gladius_Dunlevy,21,17.5,5.5,LOADOUT_SHIPS dim (game data),,,,,21,"identical to game dim[0] - same source, not a second one",,,,
Gladius Pirate,AEGS_Gladius_PIR,21,17.5,5.5,LOADOUT_SHIPS dim (game data),,,,,21,"identical to game dim[0] - same source, not a second one",16.954 x 5.614 x 19.751,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Gladius Valiant,AEGS_Gladius_Valiant,21,17.5,5.5,LOADOUT_SHIPS dim (game data),20,16,5,sc-ships/index.json (Fleetyards),21,"identical to game dim[0] - same source, not a second one",17.354 x 5.126 x 20.876,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 21 vs Fleetyards 20 - recorded, not resolved",
Glaive,VNCL_Glaive,33,24,9,LOADOUT_SHIPS dim (game data),31,20,8,sc-ships/index.json (Fleetyards),33,"identical to game dim[0] - same source, not a second one",20.892 x 8.408 x 30.755,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 33 vs Fleetyards 31 - recorded, not resolved",
Golem,DRAK_Golem,15.5,7,5,LOADOUT_SHIPS dim (game data),15.5,7,4.5,sc-ships/index.json (Fleetyards),15.5,"identical to game dim[0] - same source, not a second one",7.456 x 4.358 x 15.403,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Golem OX,DRAK_Golem_OX,15.5,7,5,LOADOUT_SHIPS dim (game data),15.5,10,5,sc-ships/index.json (Fleetyards),15.5,"identical to game dim[0] - same source, not a second one",10.038 x 4.359 x 15.404,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Guardian,MRAI_Guardian,24.3,16.3,9.1,LOADOUT_SHIPS dim (game data),25,16.5,9,sc-ships/index.json (Fleetyards),24.3,"identical to game dim[0] - same source, not a second one",16.707 x 8.862 x 25.051,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.3 vs Fleetyards 25 - recorded, not resolved",
Guardian MX,MRAI_Guardian_MX,26,17,10,LOADOUT_SHIPS dim (game data),25,20,11,sc-ships/index.json (Fleetyards),26,"identical to game dim[0] - same source, not a second one",20.035 x 11.461 x 24.445,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 26 vs Fleetyards 25 - recorded, not resolved",
Guardian QI,MRAI_Guardian_QI,24.3,16.3,9.1,LOADOUT_SHIPS dim (game data),25,16.5,9,sc-ships/index.json (Fleetyards),24.3,"identical to game dim[0] - same source, not a second one",16.706 x 8.863 x 25.329,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.3 vs Fleetyards 25 - recorded, not resolved",
Hammerhead,AEGS_Hammerhead,120,72,16,LOADOUT_SHIPS dim (game data),115,75,16,sc-ships/index.json (Fleetyards),120,"identical to game dim[0] - same source, not a second one",74.285 x 16.407 x 116.296,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 120 vs Fleetyards 115 - recorded, not resolved",
Hawk,ANVL_Hawk,23,17,8,LOADOUT_SHIPS dim (game data),17,22,6.5,sc-ships/index.json (Fleetyards),23,"identical to game dim[0] - same source, not a second one",22.86 x 6.779 x 17.018,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 23 vs Fleetyards 17 - recorded, not resolved",
Herald,DRAK_Herald,24.75,12.5,9,LOADOUT_SHIPS dim (game data),23.5,12.5,9,sc-ships/index.json (Fleetyards),24.75,"identical to game dim[0] - same source, not a second one",12.129 x 8.807 x 23.511,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.75 vs Fleetyards 23.5 - recorded, not resolved",
Hermes,RSI_Hermes,73,58,14,LOADOUT_SHIPS dim (game data),,,,,73,"identical to game dim[0] - same source, not a second one",65.0 x 13.781 x 53.129,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
HoverQuad,CNOU_HoverQuad,5.15,1.45,1.32,LOADOUT_SHIPS dim (game data),4.5,2.5,1.1,sc-ships/index.json (Fleetyards),5.15,"identical to game dim[0] - same source, not a second one",2.255 x 1.234 x 4.321,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 5.15 vs Fleetyards 4.5 - recorded, not resolved",
Hull A,MISC_Hull_A,30,12.5,8,LOADOUT_SHIPS dim (game data),24,10,8,sc-ships/index.json (Fleetyards),30,"identical to game dim[0] - same source, not a second one",10.702 x 4.266 x 21.601,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 30 vs Fleetyards 24 - recorded, not resolved",
Hull B,MISC_Hull_B,71,16.7,10.7,LOADOUT_SHIPS dim (game data),49,15.5,17,sc-ships/index.json (Fleetyards),71,"identical to game dim[0] - same source, not a second one",17.995 x 18.083 x 49.249,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 71 vs Fleetyards 49 - recorded, not resolved",
Hull C,MISC_Hull_C,91.17,36.05,26.28,LOADOUT_SHIPS dim (game data),125,60,60,sc-ships/index.json (Fleetyards),91.17,"identical to game dim[0] - same source, not a second one",43.482 x 43.482 x 104.468,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 91.17 vs Fleetyards 125 - recorded, not resolved",
Hull D,(none),,,,,209,70,70,sc-ships/index.json (Fleetyards),,,,,,
Hull E,(none),,,,,372,104,104,sc-ships/index.json (Fleetyards),,,,,,
Hurricane,ANVL_Hurricane,24,18.5,6.5,LOADOUT_SHIPS dim (game data),22,14.5,6,sc-ships/index.json (Fleetyards),24,"identical to game dim[0] - same source, not a second one",18.26 x 4.529 x 21.352,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24 vs Fleetyards 22 - recorded, not resolved",
Idris-M,AEGS_Idris_M,243,127,57.5,LOADOUT_SHIPS dim (game data),240,125,45,sc-ships/index.json (Fleetyards),243,"identical to game dim[0] - same source, not a second one",126.655 x 51.398 x 238.399,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 243 vs Fleetyards 240 - recorded, not resolved",
Idris-P,AEGS_Idris_P,243,127,57.5,LOADOUT_SHIPS dim (game data),240,125,45,sc-ships/index.json (Fleetyards),243,"identical to game dim[0] - same source, not a second one",126.656 x 45.251 x 233.207,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 243 vs Fleetyards 240 - recorded, not resolved",
Intrepid,CRUS_Intrepid,23.07,20.18,6.13,LOADOUT_SHIPS dim (game data),23.2,20.3,6.2,sc-ships/index.json (Fleetyards),23.07,"identical to game dim[0] - same source, not a second one",20.377 x 5.412 x 23.036,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 23.07 vs Fleetyards 23.2 - recorded, not resolved",
Ironclad,DRAK_Ironclad,117,50,25,LOADOUT_SHIPS dim (game data),120,52,20,sc-ships/index.json (Fleetyards),117,"identical to game dim[0] - same source, not a second one",48.394 x 21.075 x 119.737,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 117 vs Fleetyards 120 - recorded, not resolved",
Ironclad Assault,DRAK_Ironclad_Assault,117,50,25,LOADOUT_SHIPS dim (game data),120,52,20,sc-ships/index.json (Fleetyards),117,"identical to game dim[0] - same source, not a second one",48.394 x 21.075 x 119.737,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 117 vs Fleetyards 120 - recorded, not resolved",
Javelin,(none),,,,,475,210,85,sc-ships/index.json (Fleetyards),,,,,,
Khartu-al,XIAN_Scout,32,13.5,8.75,LOADOUT_SHIPS dim (game data),,,,,32,"identical to game dim[0] - same source, not a second one",18.793 x 29.243 x 10.755,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Kraken,(none),,,,,270,104,64,sc-ships/index.json (Fleetyards),,,,,,
Kraken Privateer,(none),,,,,270,104,64,sc-ships/index.json (Fleetyards),,,,,,
L-21 Wolf,KRIG_L21_Wolf,21.5,10.5,4.2,LOADOUT_SHIPS dim (game data),21.5,10.5,4.2,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",10.541 x 4.9 x 21.605,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
L-22 Alpha Wolf,KRIG_L22_AlphaWolf,21.5,10.5,4.2,LOADOUT_SHIPS dim (game data),21.5,10.5,4.2,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",10.541 x 3.517 x 21.535,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Legionnaire,(none),,,,,32,24,13,sc-ships/index.json (Fleetyards),,,,,,
Liberator,(none),,,,,119,67,25,sc-ships/index.json (Fleetyards),,,,,,
Lynx,RSI_Lynx,7.75,5.7,3.5,LOADOUT_SHIPS dim (game data),7.7,5.7,3.1,sc-ships/index.json (Fleetyards),7.75,"identical to game dim[0] - same source, not a second one",5.498 x 3.176 x 7.745,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 7.75 vs Fleetyards 7.7 - recorded, not resolved",
M2 Hercules Starlifter,CRUS_Starlifter_M2,94,70,23,LOADOUT_SHIPS dim (game data),,,,,94,"identical to game dim[0] - same source, not a second one",71.04 x 21.756 x 94.52,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
M50,ORIG_m50,11.5,11,3.5,LOADOUT_SHIPS dim (game data),11,10,3,sc-ships/index.json (Fleetyards),11.5,"identical to game dim[0] - same source, not a second one",10.038 x 2.459 x 10.962,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 11.5 vs Fleetyards 11 - recorded, not resolved",
M80,ORIG_m80,11.5,11,3.5,LOADOUT_SHIPS dim (game data),,,,,11.5,"identical to game dim[0] - same source, not a second one",32.0 x 5.08 x 17.632,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
MDC,GRIN_MDC,8.75,6,5,LOADOUT_SHIPS dim (game data),7,5.5,2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",5.239 x 3.8 x 7.251,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 7 - recorded, not resolved",
MOLE,ARGO_MOLE,45,26,15,LOADOUT_SHIPS dim (game data),45,25,15,sc-ships/index.json (Fleetyards),45,"identical to game dim[0] - same source, not a second one",25.727 x 13.332 x 42.25,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
MOTH,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
MPUV Cargo,ARGO_MPUV,10.5,9,5,LOADOUT_SHIPS dim (game data),9,8.5,4,sc-ships/index.json (Fleetyards),10.5,"identical to game dim[0] - same source, not a second one",8.51 x 4.29 x 9.218,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 10.5 vs Fleetyards 9 - recorded, not resolved",
MPUV Personnel,ARGO_MPUV_Transport,10.5,9,5,LOADOUT_SHIPS dim (game data),9,6.5,4,sc-ships/index.json (Fleetyards),10.5,"identical to game dim[0] - same source, not a second one",8.511 x 4.293 x 9.477,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 10.5 vs Fleetyards 9 - recorded, not resolved",
MPUV Tractor,ARGO_MPUV_1T,10.5,9,5.5,LOADOUT_SHIPS dim (game data),9,8.5,4,sc-ships/index.json (Fleetyards),10.5,"identical to game dim[0] - same source, not a second one",7.756 x 4.131 x 9.204,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 10.5 vs Fleetyards 9 - recorded, not resolved",
MTC,GRIN_MTC,8.75,6,5,LOADOUT_SHIPS dim (game data),7,5.5,2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",5.235 x 4.109 x 7.026,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 7 - recorded, not resolved",
Mantis,RSI_Mantis,30,17,7.5,LOADOUT_SHIPS dim (game data),30,17,8,sc-ships/index.json (Fleetyards),30,"identical to game dim[0] - same source, not a second one",30.0 x 6.373 x 17.003,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Merchantman,(none),,,,,160,160,65,sc-ships/index.json (Fleetyards),,,,,,
Mercury Star Runner,CRUS_Star_Runner,55,51,19,LOADOUT_SHIPS dim (game data),,,,,55,"identical to game dim[0] - same source, not a second one",37.479 x 10.059 x 40.537,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Meteor,RSI_Meteor,30,17,7.5,LOADOUT_SHIPS dim (game data),30,17,8,sc-ships/index.json (Fleetyards),30,"identical to game dim[0] - same source, not a second one",16.812 x 6.478 x 29.655,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Mule,DRAK_Mule,8.75,6,3.5,LOADOUT_SHIPS dim (game data),4.2,3,2.7,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",6.279 x 5.613 x 8.75,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 4.2 - recorded, not resolved",
Mustang Alpha,CNOU_Mustang_Alpha,21.5,18,9,LOADOUT_SHIPS dim (game data),21.5,18,9,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",18.052 x 5.47 x 22.301,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Mustang Alpha Vindicator,(none),,,,,17.5,15.5,5.5,sc-ships/index.json (Fleetyards),,,,,,
Mustang Beta,CNOU_Mustang_Beta,21.5,18,9,LOADOUT_SHIPS dim (game data),21.5,18,9,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",18.052 x 5.47 x 22.301,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Mustang Delta,CNOU_Mustang_Delta,21.5,18,9,LOADOUT_SHIPS dim (game data),21.5,18,9,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",18.052 x 5.47 x 22.301,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Mustang Gamma,CNOU_Mustang_Gamma,21.5,18,9,LOADOUT_SHIPS dim (game data),21.5,18,9,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",18.052 x 5.47 x 21.22,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Mustang Omega,CNOU_Mustang_Omega,21.5,18,9,LOADOUT_SHIPS dim (game data),17.5,15.5,5.5,sc-ships/index.json (Fleetyards),21.5,"identical to game dim[0] - same source, not a second one",18.052 x 5.47 x 21.22,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 21.5 vs Fleetyards 17.5 - recorded, not resolved",
Nautilus,(none),,,,,125,72,21.6,sc-ships/index.json (Fleetyards),,,,,,
Nomad,CNOU_Nomad,27,19,10,LOADOUT_SHIPS dim (game data),26.5,18.3,9.2,sc-ships/index.json (Fleetyards),27,"identical to game dim[0] - same source, not a second one",18.295 x 7.607 x 25.221,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 27 vs Fleetyards 26.5 - recorded, not resolved",
Nova Tank,TMBL_Nova,20,12,11,LOADOUT_SHIPS dim (game data),,,,,20,"identical to game dim[0] - same source, not a second one",7.303 x 5.125 x 15.911,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Nox,XIAN_Nox,5.15,1.45,1.32,LOADOUT_SHIPS dim (game data),5.5,1.5,1.5,sc-ships/index.json (Fleetyards),5.15,"identical to game dim[0] - same source, not a second one",1.317 x 1.518 x 5.162,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 5.15 vs Fleetyards 5.5 - recorded, not resolved",
Odin,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
Odyssey,(none),,,,,140,90,35,sc-ships/index.json (Fleetyards),,,,,,
Orion,(none),,,,,170,50,50,sc-ships/index.json (Fleetyards),,,,,,
P-52 Merlin,KRIG_P52_Merlin,12,7.75,3.25,LOADOUT_SHIPS dim (game data),12,7.7,2,sc-ships/index.json (Fleetyards),12,"identical to game dim[0] - same source, not a second one",7.706 x 2.354 x 11.968,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
